Timestamp,RateRoll1,RatePitch1,RateYaw1,KalmanRoll1,KalmanPitch1,KalmanYaw1,RateRoll2,RatePitch2,RateYaw2,KalmanRoll2,KalmanPitch2,KalmanYaw2,RateRoll3,RatePitch3,RateYaw3,KalmanRoll3,KalmanPitch3,KalmanYaw3,RateRoll4,RatePitch4,RateYaw4,KalmanRoll4,KalmanPitch4,KalmanYaw4,RateRoll5,RatePitch5,RateYaw5,KalmanRoll5,KalmanPitch5,KalmanYaw5
1738017573.797018,-99.54,-40.98,-34.08,-0.28,-0.11,-0.09,-25.37,41.47,-42.75,-0.07,0.11,-0.12,38.41,-26.23,-36.03,0.11,-0.07,-0.1,62.93,-55.39,-38.84,0.17,-0.15,-0.11,67.85,-9.83,-38.96,0.19,-0.03,-0.11
1738017575.3294015,-95.79,-42.2,-33.95,-0.5,-0.22,-0.18,-26.99,45.83,-42.87,-0.14,0.23,-0.22,39.54,-19.69,-35.91,0.2,-0.12,-0.19,62.32,-47.05,-38.72,0.32,-0.26,-0.2,72.55,-7.3,-38.96,0.37,-0.04,-0.2
1738017576.8546448,-0.01,-0.01,-0.01,-0.41,-0.17,-0.14,-25.25,50.66,-42.63,-0.19,0.35,-0.32,40.34,-14.9,-36.15,0.29,-0.14,-0.27,62.47,-43.08,-38.6,0.46,-0.35,-0.29,75.05,-7.24,-39.21,0.54,-0.06,-0.29
1738017578.3826957,-0.01,-0.01,-0.01,-0.34,-0.15,-0.12,-22.47,51.48,-42.63,-0.24,0.47,-0.41,44.0,-16.0,-36.15,0.4,-0.17,-0.35,66.29,-42.47,-38.96,0.61,-0.44,-0.37,77.31,-9.56,-38.84,0.71,-0.08,-0.37
1738017579.9141436,-92.49,-38.87,-33.83,-0.61,-0.26,-0.22,-27.82,47.54,-42.63,-0.3,0.57,-0.5,38.69,-18.53,-36.27,0.47,-0.21,-0.42,62.23,-46.9,-38.6,0.74,-0.54,-0.45,73.83,-6.96,-38.84,0.87,-0.09,-0.46
1738017581.4414463,-0.01,-0.01,-0.01,-0.54,-0.23,-0.19,-44.31,57.77,-42.75,-0.42,0.7,-0.59,22.29,1.74,-36.03,0.49,-0.18,-0.5,41.86,-32.64,-39.08,0.8,-0.59,-0.54,75.05,21.07,-38.6,1.03,-0.01,-0.54
1738017582.9681568,-74.17,-45.68,-33.59,-0.75,-0.37,-0.29,-50.47,62.66,-42.5,-0.55,0.85,-0.68,20.12,8.79,-36.15,0.51,-0.13,-0.57,38.5,-25.65,-38.84,0.85,-0.62,-0.62,80.06,24.89,-38.96,1.2,0.08,-0.62
1738017584.5023792,-69.44,-32.7,-33.59,-0.92,-0.45,-0.38,-41.86,69.31,-42.38,-0.65,1.02,-0.76,29.59,15.36,-35.91,0.57,-0.06,-0.65,44.49,-15.11,-38.84,0.93,-0.61,-0.7,86.75,22.5,-38.84,1.4,0.15,-0.7
1738017586.0292237,-66.75,-36.55,-33.34,-1.08,-0.54,-0.47,-46.29,68.52,-42.63,-0.76,1.17,-0.85,25.16,13.8,-36.03,0.61,-0.01,-0.72,42.47,-18.63,-38.6,1.0,-0.62,-0.78,84.79,24.55,-38.84,1.58,0.23,-0.78
1738017587.5589468,-68.55,-36.67,-33.1,-1.25,-0.63,-0.56,-45.74,66.99,-42.63,-0.87,1.32,-0.94,25.53,14.5,-35.54,0.65,0.05,-0.79,42.53,-18.32,-38.72,1.07,-0.64,-0.85,84.76,24.98,-38.6,1.76,0.3,-0.86
